          Today	        NN	         O
            was	       VBD	         O
       Saturday	       NNP	         O
              ,	         ,	         O
          early	        RB	         O
             in	        IN	         O
            the	        DT	         O
        morning	        NN	         O
              ,	         ,	         O
              I	       PRP	         O
           woke	       VBD	         O
             up	        RB	         O
            and	        CC	         O
         stayed	       VBD	         O
             at	        IN	         O
           home	        NN	         O
            the	        DT	         O
          whole	        JJ	         O
        morning	        NN	         O
             to	        TO	         O
          watch	        VB	         O
             TV	       NNP	         O
              .	         .	         O
          After	        IN	         O
      finishing	       VBG	         O
             my	      PRP$	         O
          lunch	        NN	         O
              ,	         ,	         O
              I	       PRP	         O
            had	       VBD	         O
        nothing	        NN	         O
             to	        TO	         O
             do	        VB	         O
              ,	         ,	         O
             so	        RB	         O
              I	       PRP	         O
        decided	       VBD	         O
             to	        TO	         O
           call	        VB	         O
             my	      PRP$	         O
        friends	       NNS	         O
           out.	        IN	         O
              I	       PRP	         O
         headed	       VBD	         O
             to	        TO	         O
            the	        DT	         O
         coffee	        NN	         O
           shop	        NN	         O
          which	       WDT	         O
            was	       VBD	         O
           near	        IN	         O
              a	        DT	         O
         square	        NN	         O
              .	         .	         O
          There	        EX	         O
           were	       VBD	         O
              a	        DT	         O
            lot	        NN	         O
             of	        IN	         O
         people	       NNS	         O
             in	        IN	         O
            the	        DT	         O
         square	        NN	         O
              ,	         ,	         O
           some	        DT	         O
          women	       NNS	         O
           were	       VBD	         O
        dancing	       VBG	         O
            and	        CC	         O
        singing	        NN	         O
              ,	         ,	         O
          while	        IN	         O
           some	        DT	         O
            men	       NNS	         O
           were	       VBD	         O
         taking	       VBG	         O
            the	        DT	         O
          chess	        NN	         O
              .	         .	         O
              I	       PRP	         O
         walked	       VBD	         O
           into	        IN	         O
            the	        DT	         O
         coffee	        NN	         O
           shop	        NN	         O
              ,	         ,	         O
          chose	       VBD	         O
              a	        DT	         O
          table	        NN	         O
          which	       WDT	         O
            was	       VBD	         O
           near	        IN	         O
            the	        DT	         O
         window	        NN	         O
              ,	         ,	         O
             so	        IN	         O
           that	        IN	         O
              I	       PRP	         O
          could	        MD	         O
            see	        VB	         O
            the	        DT	         O
        outside	        JJ	         O
        scenery	        NN	         O
              .	         .	         O
           When	       WRB	         O
             my	      PRP$	         O
        friends	       NNS	         O
           came	       VBD	         O
              ,	         ,	         O
             we	       PRP	         O
         talked	       VBD	         O
        happily	        RB	         O
              ,	         ,	         O
             we	       PRP	         O
         shared	       VBD	         O
            the	        DT	         O
         things	       NNS	         O
           that	       WDT	         O
       happened	       VBD	         O
         during	        IN	         O
          these	        DT	         O
          days.	       NNS	         O
           Then	        RB	         O
            all	        DT	         O
             my	      PRP$	         O
       pressure	        NN	         O
            was	       VBD	         O
       relieved	       VBN	         O
              ,	         ,	         O
              I	       PRP	         O
         forgot	       VBD	         O
          about	        IN	         O
            the	        DT	         O
      annoyance	        NN	         O
             on	        IN	         O
             my	      PRP$	         O
          study	        NN	         O
              .	         .	         O
             At	        IN	         O
           that	        DT	         O
         moment	        NN	         O
              ,	         ,	         O
              I	       PRP	         O
            was	       VBD	         O
       enjoying	       VBG	         O
            the	        DT	         O
           time	        NN	         O
        talking	       VBG	         O
           with	        IN	         O
             my	      PRP$	         O
        friends	       NNS	         O
              .	         .	         O
              I	       PRP	         O
            had	       VBD	         O
            the	        DT	         O
          great	        JJ	         O
           time	        NN	         O
           this	        DT	         O
      afternoon	        NN	         O
              .	         .	         O

